"","samples","ds","alphalogodds"
"169",190,0.325,1.88285436633719
"170",200,0.325,1.90863737084484
"171",210,0.325,1.93326290769848
"172",220,0.325,1.95683491843568
"173",230,0.325,1.97943419841257
"174",240,0.325,2.00114185084014
"175",250,0.325,2.02202643043203
"176",260,0.325,2.042148244599
"177",270,0.325,2.06155885826856
"178",280,0.325,2.08031157147357
"179",290,0.325,2.0984470111877
"180",300,0.325,2.11600662554377
"181",10,0.35,0.588052299438372
"182",20,0.35,0.835152251824385
"183",30,0.35,0.989547428179418
"184",40,0.35,1.10522193752842
"185",50,0.35,1.19868358942135
"186",60,0.35,1.27748364293901
"187",70,0.35,1.34578931309916
"188",80,0.35,1.40617248779505
"189",90,0.35,1.46033450560758
"190",100,0.35,1.50948116043332
"191",110,0.35,1.55448583135108
"192",120,0.35,1.59600925638549
"193",130,0.35,1.63456460768695
"194",140,0.35,1.67055232910372
"195",150,0.35,1.70430310928073
"196",160,0.35,1.7360822480749
"197",170,0.35,1.76611124758775
"198",180,0.35,1.794575242899
"199",190,0.35,1.82163155306987
"200",200,0.35,1.84741455757752
"201",210,0.35,1.87204009443116
"202",220,0.35,1.89561210516836
"203",230,0.35,1.91821138514525
"204",240,0.35,1.93991903757282
"205",250,0.35,1.96080361716471
"206",260,0.35,1.98092543133168
"207",270,0.35,2.00033604500124
"208",280,0.35,2.01908875820625
"209",290,0.35,2.03722419792038
"210",300,0.35,2.05478381227645
"211",10,0.375,0.520652157155152
"212",20,0.375,0.767752109541165
"213",30,0.375,0.922147285896198
"214",40,0.375,1.0378217952452
"215",50,0.375,1.13128344713813
"216",60,0.375,1.21008350065579
"217",70,0.375,1.27838917081594
"218",80,0.375,1.33877234551183
"219",90,0.375,1.39293436332436
"220",100,0.375,1.4420810181501
"221",110,0.375,1.48708568906786
"222",120,0.375,1.52860911410227
"223",130,0.375,1.56716446540373
"224",140,0.375,1.6031521868205
"225",150,0.375,1.63690296699751
"226",160,0.375,1.66868210579168
"227",170,0.375,1.69871110530453
"228",180,0.375,1.72717510061578
"229",190,0.375,1.75423141078665
"230",200,0.375,1.7800144152943
"231",210,0.375,1.80463995214794
"232",220,0.375,1.82821196288514
"233",230,0.375,1.85081124286203
"234",240,0.375,1.8725188952896
"235",250,0.375,1.89340347488149
"236",260,0.375,1.91352528904846
"237",270,0.375,1.93293590271802
"238",280,0.375,1.95168861592303
"239",290,0.375,1.96982405563716
"240",300,0.375,1.98738366999323
"241",10,0.4,0.449844917777578
"242",20,0.4,0.696944870163591
"243",30,0.4,0.851340046518623
"244",40,0.4,0.967014555867626
"245",50,0.4,1.06047620776055
"246",60,0.4,1.13927626127821
"247",70,0.4,1.20758193143836
"248",80,0.4,1.26796510613425
"249",90,0.4,1.32212712394678
"250",100,0.4,1.37127377877252
"251",110,0.4,1.41627844969029
"252",120,0.4,1.4578018747247
"253",130,0.4,1.49635722602615
"254",140,0.4,1.53234494744293
"255",150,0.4,1.56609572761994
"256",160,0.4,1.5978748664141
"257",170,0.4,1.62790386592696
"258",180,0.4,1.65636786123821
"259",190,0.4,1.68342417140907
"260",200,0.4,1.70920717591673
"261",210,0.4,1.73383271277037
"262",220,0.4,1.75740472350757
"263",230,0.4,1.78000400348445
"264",240,0.4,1.80171165591202
"265",250,0.4,1.82259623550392
"266",260,0.4,1.84271804967088
"267",270,0.4,1.86212866334044
"268",280,0.4,1.88088137654545
"269",290,0.4,1.89901681625958
"270",300,0.4,1.91657643061566
"271",10,0.425,0.372339893870138
"272",20,0.425,0.619439846256151
"273",30,0.425,0.773835022611184
"274",40,0.425,0.889509531960187
"275",50,0.425,0.982971183853114
"276",60,0.425,1.06177123737078
"277",70,0.425,1.13007690753092
"278",80,0.425,1.19046008222681
"279",90,0.425,1.24462210003934
"280",100,0.425,1.29376875486508
"281",110,0.425,1.33877342578285
"282",120,0.425,1.38029685081726
"283",130,0.425,1.41885220211871
"284",140,0.425,1.45483992353549
"285",150,0.425,1.4885907037125
"286",160,0.425,1.52036984250666
"287",170,0.425,1.55039884201952
"288",180,0.425,1.57886283733077
"289",190,0.425,1.60591914750163
"290",200,0.425,1.63170215200929
"291",210,0.425,1.65632768886293
"292",220,0.425,1.67989969960013
"293",230,0.425,1.70249897957701
"294",240,0.425,1.72420663200459
"295",250,0.425,1.74509121159648
"296",260,0.425,1.76521302576344
"297",270,0.425,1.78462363943301
"298",280,0.425,1.80337635263801
"299",290,0.425,1.82151179235214
"300",300,0.425,1.83907140670822
"301",10,0.45,0.28925595928714
"302",20,0.45,0.536355911673153
"303",30,0.45,0.690751088028186
"304",40,0.45,0.806425597377189
"305",50,0.45,0.899887249270116
"306",60,0.45,0.978687302787777
"307",70,0.45,1.04699297294793
"308",80,0.45,1.10737614764382
"309",90,0.45,1.16153816545634
"310",100,0.45,1.21068482028208
"311",110,0.45,1.25568949119985
"312",120,0.45,1.29721291623426
"313",130,0.45,1.33576826753571
"314",140,0.45,1.37175598895249
"315",150,0.45,1.4055067691295
"316",160,0.45,1.43728590792366
"317",170,0.45,1.46731490743652
"318",180,0.45,1.49577890274777
"319",190,0.45,1.52283521291864
"320",200,0.45,1.54861821742629
"321",210,0.45,1.57324375427993
"322",220,0.45,1.59681576501713
"323",230,0.45,1.61941504499402
"324",240,0.45,1.64112269742159
"325",250,0.45,1.66200727701348
"326",260,0.45,1.68212909118044
"327",270,0.45,1.70153970485001
"328",280,0.45,1.72029241805501
"329",290,0.45,1.73842785776915
"330",300,0.45,1.75598747212522
"331",10,0.475,0.20263298873425
"332",20,0.475,0.449732941120263
"333",30,0.475,0.604128117475295
"334",40,0.475,0.719802626824298
"335",50,0.475,0.813264278717226
"336",60,0.475,0.892064332234887
"337",70,0.475,0.960370002395035
"338",80,0.475,1.02075317709093
"339",90,0.475,1.07491519490345
"340",100,0.475,1.12406184972919
"341",110,0.475,1.16906652064696
"342",120,0.475,1.21058994568137
"343",130,0.475,1.24914529698282
"344",140,0.475,1.2851330183996
"345",150,0.475,1.31888379857661
"346",160,0.475,1.35066293737077
"347",170,0.475,1.38069193688363
"348",180,0.475,1.40915593219488
"349",190,0.475,1.43621224236575
"350",200,0.475,1.4619952468734
"351",210,0.475,1.48662078372704
"352",220,0.475,1.51019279446424
"353",230,0.475,1.53279207444113
"354",240,0.475,1.5544997268687
"355",250,0.475,1.57538430646059
"356",260,0.475,1.59550612062755
"357",270,0.475,1.61491673429712
"358",280,0.475,1.63366944750212
"359",290,0.475,1.65180488721626
"360",300,0.475,1.66936450157233
"361",10,0.5,0.113101636476999
"362",20,0.5,0.360201588863012
"363",30,0.5,0.514596765218045
"364",40,0.5,0.630271274567048
"365",50,0.5,0.723732926459975
"366",60,0.5,0.802532979977636
"367",70,0.5,0.870838650137785
"368",80,0.5,0.931221824833675
"369",90,0.5,0.985383842646202
"370",100,0.5,1.03453049747194
"371",110,0.5,1.07953516838971
"372",120,0.5,1.12105859342412
"373",130,0.5,1.15961394472557
"374",140,0.5,1.19560166614235
"375",150,0.5,1.22935244631936
"376",160,0.5,1.26113158511352
"377",170,0.5,1.29116058462638
"378",180,0.5,1.31962457993763
"379",190,0.5,1.34668089010849
"380",200,0.5,1.37246389461615
"381",210,0.5,1.39708943146979
"382",220,0.5,1.42066144220699
"383",230,0.5,1.44326072218388
"384",240,0.5,1.46496837461145
"385",250,0.5,1.48585295420334
"386",260,0.5,1.5059747683703
"387",270,0.5,1.52538538203987
"388",280,0.5,1.54413809524487
"389",290,0.5,1.56227353495901
"390",300,0.5,1.57983314931508
"391",10,0.525,0.0174528730627374
"392",20,0.525,0.26455282544875
"393",30,0.525,0.418948001803783
"394",40,0.525,0.534622511152786
"395",50,0.525,0.628084163045713
"396",60,0.525,0.706884216563374
"397",70,0.525,0.775189886723523
"398",80,0.525,0.835573061419414
"399",90,0.525,0.889735079231941
"400",100,0.525,0.938881734057681
"401",110,0.525,0.983886404975449
"402",120,0.525,1.02540983000985
"403",130,0.525,1.06396518131131
"404",140,0.525,1.09995290272808
"405",150,0.525,1.1337036829051
"406",160,0.525,1.16548282169926
"407",170,0.525,1.19551182121212
"408",180,0.525,1.22397581652337
"409",190,0.525,1.25103212669423
"410",200,0.525,1.27681513120189
"411",210,0.525,1.30144066805553
"412",220,0.525,1.32501267879273
"413",230,0.525,1.34761195876961
"414",240,0.525,1.36931961119718
"415",250,0.525,1.39020419078908
"416",260,0.525,1.41032600495604
"417",270,0.525,1.4297366186256
"418",280,0.525,1.44848933183061
"419",290,0.525,1.46662477154474
"420",300,0.525,1.48418438590082
"421",10,0.55,-0.0828286408539814
"422",20,0.55,0.164271311532031
"423",30,0.55,0.318666487887064
"424",40,0.55,0.434340997236067
"425",50,0.55,0.527802649128995
"426",60,0.55,0.606602702646656
"427",70,0.55,0.674908372806804
"428",80,0.55,0.735291547502695
"429",90,0.55,0.789453565315222
"430",100,0.55,0.838600220140962
"431",110,0.55,0.883604891058731
"432",120,0.55,0.925128316093136
"433",130,0.55,0.963683667394593
"434",140,0.55,0.999671388811366
"435",150,0.55,1.03342216898838
"436",160,0.55,1.06520130778254
"437",170,0.55,1.0952303072954
"438",180,0.55,1.12369430260665
"439",190,0.55,1.15075061277751
"440",200,0.55,1.17653361728517
"441",210,0.55,1.20115915413881
"442",220,0.55,1.22473116487601
"443",230,0.55,1.24733044485289
"444",240,0.55,1.26903809728047
"445",250,0.55,1.28992267687236
"446",260,0.55,1.31004449103932
"447",270,0.55,1.32945510470889
"448",280,0.55,1.34820781791389
"449",290,0.55,1.36634325762802
"450",300,0.55,1.3839028719841
"451",10,0.575,-0.186089374650926
"452",20,0.575,0.0610105777350869
"453",30,0.575,0.21540575409012
"454",40,0.575,0.331080263439122
"455",50,0.575,0.42454191533205
"456",60,0.575,0.503341968849711
"457",70,0.575,0.57164763900986
"458",80,0.575,0.63203081370575
"459",90,0.575,0.686192831518277
"460",100,0.575,0.735339486344018
"461",110,0.575,0.780344157261786
"462",120,0.575,0.821867582296191
"463",130,0.575,0.860422933597649
"464",140,0.575,0.896410655014421
"465",150,0.575,0.930161435191434
"466",160,0.575,0.961940573985598
"467",170,0.575,0.991969573498456
"468",180,0.575,1.0204335688097
"469",190,0.575,1.04748987898057
"470",200,0.575,1.07327288348823
"471",210,0.575,1.09789842034187
"472",220,0.575,1.12147043107907
"473",230,0.575,1.14406971105595
"474",240,0.575,1.16577736348352
"475",250,0.575,1.18666194307541
"476",260,0.575,1.20678375724238
"477",270,0.575,1.22619437091194
"478",280,0.575,1.24494708411695
"479",290,0.575,1.26308252383108
"480",300,0.575,1.28064213818715
"481",10,0.6,-0.291836257958348
"482",20,0.6,-0.0447363055723352
"483",30,0.6,0.109658870782698
"484",40,0.6,0.225333380131701
"485",50,0.6,0.318795032024628
"486",60,0.6,0.397595085542289
"487",70,0.6,0.465900755702438
"488",80,0.6,0.526283930398328
"489",90,0.6,0.580445948210855
"490",100,0.6,0.629592603036595
"491",110,0.6,0.674597273954364
"492",120,0.6,0.716120698988769
"493",130,0.6,0.754676050290227
"494",140,0.6,0.790663771706999
"495",150,0.6,0.824414551884012
"496",160,0.6,0.856193690678176
"497",170,0.6,0.886222690191034
"498",180,0.6,0.914686685502283
"499",190,0.6,0.941742995673147
"500",200,0.6,0.967526000180803
"501",210,0.6,0.992151537034444
"502",220,0.6,1.01572354777164
"503",230,0.6,1.03832282774853
"504",240,0.6,1.0600304801761
"505",250,0.6,1.08091505976799
"506",260,0.6,1.10103687393496
"507",270,0.6,1.12044748760452
"508",280,0.6,1.13920020080953
"509",290,0.6,1.15733564052366
"510",300,0.6,1.17489525487973
"511",10,0.625,-0.404060760344334
"512",20,0.625,-0.156960807958321
"513",30,0.625,-0.0025656316032886
"514",40,0.625,0.113108877745714
"515",50,0.625,0.206570529638642
"516",60,0.625,0.285370583156303
"517",70,0.625,0.353676253316451
"518",80,0.625,0.414059428012342
"519",90,0.625,0.468221445824869
"520",100,0.625,0.517368100650609
"521",110,0.625,0.562372771568378
"522",120,0.625,0.603896196602783
"523",130,0.625,0.642451547904241
"524",140,0.625,0.678439269321013
"525",150,0.625,0.712190049498026
"526",160,0.625,0.74396918829219
"527",170,0.625,0.773998187805047
"528",180,0.625,0.802462183116297
"529",190,0.625,0.829518493287161
"530",200,0.625,0.855301497794817
"531",210,0.625,0.879927034648458
"532",220,0.625,0.903499045385658
"533",230,0.625,0.926098325362542
"534",240,0.625,0.947805977790113
"535",250,0.625,0.968690557382005
"536",260,0.625,0.98881237154897
"537",270,0.625,1.00822298521853
"538",280,0.625,1.02697569842354
"539",290,0.625,1.04511113813767
"540",300,0.625,1.06267075249374
"541",10,0.65,-0.517109774649539
"542",20,0.65,-0.270009822263526
"543",30,0.65,-0.115614645908493
"544",40,0.65,5.98634405093905e-05
"545",50,0.65,0.0935215153334368
"546",60,0.65,0.172321568851098
"547",70,0.65,0.240627239011246
"548",80,0.65,0.301010413707137
"549",90,0.65,0.355172431519664
"550",100,0.65,0.404319086345404
"551",110,0.65,0.449323757263173
"552",120,0.65,0.490847182297578
"553",130,0.65,0.529402533599036
"554",140,0.65,0.565390255015808
"555",150,0.65,0.599141035192821
"556",160,0.65,0.630920173986985
"557",170,0.65,0.660949173499843
"558",180,0.65,0.689413168811092
"559",190,0.65,0.716469478981956
"560",200,0.65,0.742252483489612
"561",210,0.65,0.766878020343253
"562",220,0.65,0.790450031080453
"563",230,0.65,0.813049311057337
"564",240,0.65,0.834756963484908
"565",250,0.65,0.8556415430768
"566",260,0.65,0.875763357243766
"567",270,0.65,0.895173970913328
"568",280,0.65,0.913926684118335
"569",290,0.65,0.932062123832467
"570",300,0.65,0.94962173818854
"571",10,0.675,-0.63930139608974
"572",20,0.675,-0.392201443703728
"573",30,0.675,-0.237806267348695
"574",40,0.675,-0.122131757999692
"575",50,0.675,-0.0286701061067645
"576",60,0.675,0.0501299474108964
"577",70,0.675,0.118435617571045
"578",80,0.675,0.178818792266936
"579",90,0.675,0.232980810079463
"580",100,0.675,0.282127464905203
"581",110,0.675,0.327132135822972
"582",120,0.675,0.368655560857377
"583",130,0.675,0.407210912158834
"584",140,0.675,0.443198633575607
"585",150,0.675,0.47694941375262
"586",160,0.675,0.508728552546784
"587",170,0.675,0.538757552059641
"588",180,0.675,0.56722154737089
"589",190,0.675,0.594277857541755
"590",200,0.675,0.62006086204941
"591",210,0.675,0.644686398903051
"592",220,0.675,0.668258409640251
"593",230,0.675,0.690857689617135
"594",240,0.675,0.712565342044707
"595",250,0.675,0.733449921636598
"596",260,0.675,0.753571735803564
"597",270,0.675,0.772982349473126
"598",280,0.675,0.791735062678133
"599",290,0.675,0.809870502392266
"600",300,0.675,0.827430116748338
"601",10,0.7,-0.758034495748476
"602",20,0.7,-0.510934543362463
"603",30,0.7,-0.35653936700743
"604",40,0.7,-0.240864857658427
"605",50,0.7,-0.1474032057655
"606",60,0.7,-0.068603152247839
"607",70,0.7,-0.000297482087690422
"608",80,0.7,0.0600856926082003
"609",90,0.7,0.114247710420727
"610",100,0.7,0.163394365246467
"611",110,0.7,0.208399036164236
"612",120,0.7,0.249922461198641
"613",130,0.7,0.288477812500099
"614",140,0.7,0.324465533916871
"615",150,0.7,0.358216314093884
"616",160,0.7,0.389995452888048
"617",170,0.7,0.420024452400906
"618",180,0.7,0.448488447712155
"619",190,0.7,0.475544757883019
"620",200,0.7,0.501327762390675
"621",210,0.7,0.525953299244316
"622",220,0.7,0.549525309981516
"623",230,0.7,0.5721245899584
"624",240,0.7,0.593832242385971
"625",250,0.7,0.614716821977863
"626",260,0.7,0.634838636144829
"627",270,0.7,0.654249249814391
"628",280,0.7,0.673001963019398
"629",290,0.7,0.69113740273353
"630",300,0.7,0.708697017089603
"631",10,0.725,-0.884441902226988
"632",20,0.725,-0.637341949840975
"633",30,0.725,-0.482946773485942
"634",40,0.725,-0.367272264136939
"635",50,0.725,-0.273810612244012
"636",60,0.725,-0.195010558726351
"637",70,0.725,-0.126704888566202
"638",80,0.725,-0.0663217138703115
"639",90,0.725,-0.0121596960577846
"640",100,0.725,0.0369869587679558
